,,,Swiggy Food Price Analysis Dashboard,,,,,
,,,,,,,,
,,,1. Calculate the 'Cost_for_Two' by applying 10% discount.,,,,,
,,,2. Calculate the 'Cost_for_Four' by applying 25% discount.,,,,,
,,,3. Top 5 Restaurants with Highest Rating: Analysis: List the top 5 Restaurants with the highest rating,,,,,
,,,4. Restaurants with Cost for Two: Analysis: List all Restaurants with their respective costs for two.,,,,,
,,,5. Cost for Two by Rating: Analysis: Display the Count of Cost_for_Two grouped by ratings.,,,,,
,,,"6. Find out all the restaurants offering ""North Indian"" Cuisine and having ""Rating"" greater than 4.2.",,,,,
,,,7. Show percentage sales contribution for each city.,,,,,
,,,"8. Out of all the cities, find out most expensive one.",,,,,
,,,,,,,,
Q3,,,Q5,,,,Q7,
Restaurant,Rating,,Rating,Cost for Two,,,City,% Sale
Kanti Sweets,4.8,,4.1,30,,,BTM,11518
Sri Krishna sagar,4.6,,4.3,23,,,HSR,7000
Mumbai Tiffin,4.6,,4,21,,,Jayanagar,300
Al Daaz,4.5,,3.9,13,,,Koramangala,19061
Kitchens of Punjab,4.4,,4.2,10,,,,
,,,3.7,6,,,,
,,,4.4,4,,,,
Q4,,,3.8,4,,,Q8,
Restaurant,Cost for Two,,3.6,3,,,City,Koramangala
Punjabi Rasoi,1440,,4.6,2,,,,
La Pino'z Pizza,1352,,4.8,1,,,,
Dindigul Thalapakatti Biriyani,1170,,4.5,1,,,,
Taco Bell,1080,,,,,,,
Savoury Restaurant,1080,,,,,,,
Pizza Hut,1080,,Q6,,,,,
Nagarjuna,1080,,Restaurant,Rating,,,,
Leon Grill,1080,,Sri Krishna sagar,4.6,,,,
Biriyani Zone,1080,,Mumbai Tiffin,4.6,,,,
Meghana Foods,990,,Al Daaz,4.5,,,,
Junior Kuppanna,990,,Kitchens of Punjab,4.4,,,,
China Pearl,949,,99 VARIETY DOSA AND PAV BHAJI- Malli Mane Food Court,4.4,,,,
Nandhana Palace,900,,Sri Lakshmi Dhaba,4.3,,,,
Madeena Hotel,900,,Rice Bowl,4.3,,,,
Kritunga,900,,New Udupi Grand,4.3,,,,
Gyaani Da Punjabi Dhaba,900,,Nandhana Palace,4.3,,,,
Biryani Pot,900,,Maa Di Hatti,4.3,,,,
BIRYANI CRAFTS,900,,Hotel Manu,4.3,,,,
Ambur Star Briyani,900,,Hotel Godavari,4.3,,,,
Truffles,810,,Falahaar & Kota Kachori,4.3,,,,
Momoz,810,,Ambur Star Briyani,4.3,,,,
Hyderabadi Biryani Hub,810,,A2B - Adyar Ananda Bhavan,4.3,,,,
Chinese Bae,810,,,,,,,
Cakewala,810,,,,,,,
Beijing Bites,810,,,,,,,
A2B - Adyar Ananda Bhavan,810,,,,,,,
Purani Dilli By Anand Sweets,720,,,,,,,
Punjabi Swag,720,,,,,,,
Nanda's,720,,,,,,,
Mumbai Tiffin,720,,,,,,,
Mani's Dum Biryani,720,,,,,,,
KFC,720,,,,,,,
Hotel Godavari,720,,,,,,,
Fattoush,720,,,,,,,
Easy Bites,720,,,,,,,
Biryani Khazana,720,,,,,,,
Al Daaz,720,,,,,,,
Biryanis and more,718,,,,,,,
The Bowl Company,630,,,,,,,
Shree Khana Khazana,630,,,,,,,
R.B Food Point,630,,,,,,,
New Tasty Cafeteria,630,,,,,,,
Mandya Gowdru Donne Biryani,630,,,,,,,
Mad Over Donuts,630,,,,,,,
Kitchens of Punjab,630,,,,,,,
Kitchens of China,630,,,,,,,
Hyderabad Biryaani House,630,,,,,,,
Hotel Manu,630,,,,,,,
High N Hungry,630,,,,,,,
FreshMenu,630,,,,,,,
Burger King,630,,,,,,,
Biriyani Bhatti,630,,,,,,,
Barista,630,,,,,,,
Village Donne Biriyani,540,,,,,,,
Venu's Donne Biryani,540,,,,,,,
Thalassery Restaurant,540,,,,,,,
Rolls On Wheels,540,,,,,,,
Paradise Biryani,540,,,,,,,
KANNUR FOOD POINT,540,,,,,,,
Just Bake - Cakes & confectioners,540,,,,,,,
Gongura's,540,,,,,,,
Falahaar & Kota Kachori,540,,,,,,,
Donne Biriyani House,540,,,,,,,
CRAVY WINGS - The American Diner,540,,,,,,,
BIRIYANI TASTE MASTH(BTM),540,,,,,,,
Bengali Fun Foods,540,,,,,,,
Balaji's Veg,540,,,,,,,
calicut cafe restaurant,504,,,,,,,
Oottupura,482,,,,,,,
Pipabu,463,,,,,,,
XO Belgian Waffle,450,,,,,,,
World of asia,450,,,,,,,
Swadista Aahar,450,,,,,,,
Swad Punjab da,450,,,,,,,
Sai Abhiruchi,450,,,,,,,
Rice Bowl,450,,,,,,,
Onesta,450,,,,,,,
KANNOOR RESTAURANT,450,,,,,,,
Just Shawarma,450,,,,,,,
Cream Stone,450,,,,,,,
Corner House Ice Cream,450,,,,,,,
Cake Garden,450,,,,,,,
Bathinda Junction,450,,,,,,,
Abhiruchi Hotel,450,,,,,,,
Cake Box,445,,,,,,,
Ghar Ka Khana,396,,,,,,,
Wok Paper Scissors,394,,,,,,,
WarmOven Cake & Desserts,360,,,,,,,
Thali 99,360,,,,,,,
Svadu Pure Ghee Sweets,360,,,,,,,
Sri Lakshmi Dhaba,360,,,,,,,
Sharmas punjabi restaurant,360,,,,,,,
Sagar fast food,360,,,,,,,
Nizams Biryani,360,,,,,,,
Khichdi Experiment,360,,,,,,,
Bowl 99,360,,,,,,,
99 VARIETY DOSA AND PAV BHAJI- Malli Mane Food Court,360,,,,,,,
Royal Treat,347,,,,,,,
Khawa Karpo,320,,,,,,,
Hotel Savitha Family Restaurant,275,,,,,,,
Yumlane Pizza,270,,,,,,,
Shawarma Inc,270,,,,,,,
New Udupi Grand,270,,,,,,,
Natural Ice Cream,270,,,,,,,
Madurai Idly Shop,270,,,,,,,
Kanti Sweets,270,,,,,,,
Donne Biryani Mandi,270,,,,,,,
800 Momos,270,,,,,,,
Delhi Food Point,238,,,,,,,
Donne Biryani House,234,,,,,,,
Maa Di Hatti,232,,,,,,,
Sri Krishna sagar,227,,,,,,,
NIC Natural Ice Creams,216,,,,,,,
Tandoori Merchant,180,,,,,,,
99 VARIETY DOSA AND JUICE-Malli mane food court,180,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Dashboard,,,,,,,,